classe_age,0-3,4-5,6-10,11-15,16-20,21-25,26-30,31-35,36-40,41-45,"46,50",51-55,56-60,61-65,66-70,71-75,76-80,81-85,86-90,>90,Count_ind
18-20,0.018604651162790697,0.007751937984496124,0.07131782945736434,0.29457364341085274,0.5069767441860465,0.34418604651162793,0.04961240310077519,0.017054263565891473,0.02945736434108527,0.17364341085271318,0.5782945736434109,0.524031007751938,0.2124031007751938,0.046511627906976744,0.020155038759689922,0.017054263565891473,0.007751937984496124,0.004651162790697674,0.006201550387596899,0.0,645
21-25,0.020964360587002098,0.0041928721174004195,0.013417190775681341,0.052830188679245285,0.21551362683438155,0.5861635220125786,0.22180293501048218,0.03522012578616352,0.007547169811320755,0.019706498951781972,0.13039832285115305,0.3467505241090147,0.2180293501048218,0.09182389937106918,0.018029350104821804,0.00880503144654088,0.006289308176100629,0.007966457023060796,0.0029350104821802936,0.0025157232704402514,2385
26-30,0.14372581536760642,0.02542841348811498,0.02570480928689884,0.007462686567164179,0.03150912106135987,0.1332227750138198,0.5259812050856827,0.1885019347705915,0.04422332780541736,0.01105583195135434,0.013819789939192924,0.0666113875069099,0.11691542288557213,0.06467661691542288,0.022940851299060254,0.00552791597567717,0.0013819789939192924,0.001658374792703151,0.001658374792703151,0.0008291873963515755,3618
31-35,0.4563445867287544,0.17974388824214202,0.18370197904540164,0.02910360884749709,0.008614668218859138,0.02211874272409779,0.12665890570430732,0.49150174621653087,0.19278230500582072,0.04912689173457509,0.01210710128055879,0.008847497089639115,0.033527357392316645,0.04749708963911525,0.023050058207217696,0.011175785797438883,0.0006984866123399302,0.0009313154831199069,0.00023282887077997672,0.0006984866123399302,4295
36-40,0.3616588737548282,0.2671274649318967,0.606830656637528,0.20288676560276478,0.03516974994917666,0.011181134376905875,0.02642813579995934,0.12563529172596055,0.46655824354543607,0.20349664565968692,0.04960357796300061,0.01341736125228705,0.007521854035373044,0.021345801992274854,0.024395202276885547,0.015856881479975604,0.0028461069323033137,0.0012197601138442774,0.0004065867046147591,0.0004065867046147591,4919
41-45,0.11520648398301814,0.1339251254341953,0.5735237360092629,0.6094172134311077,0.2055191045928213,0.018332690081049787,0.010227711308375145,0.024893863373214975,0.11752219220378232,0.45754534928598994,0.17174835970667696,0.04264762639907372,0.01273639521420301,0.012157468159011964,0.015245079120030876,0.016981860285604014,0.0061752219220378235,0.0019297568506368198,0.0009648784253184099,0.0005789270551910459,5182
46-50,0.025429254509889154,0.03520973701369268,0.24146924581612692,0.5435774831558357,0.5822647250597696,0.15018474244729407,0.010867202782003912,0.007824386003042817,0.03303629645729189,0.10997609215387959,0.44381656161703975,0.16344272984133884,0.04346881112801565,0.01630080417300587,0.009997826559443599,0.014127363616605085,0.007824386003042817,0.006085633557922191,0.002608128667680939,0.0004346881112801565,4601
51-55,0.00993217054263566,0.009205426356589148,0.04893410852713178,0.2139050387596899,0.45518410852713176,0.37209302325581395,0.07049418604651163,0.0075096899224806205,0.00993217054263566,0.025193798449612403,0.11773255813953488,0.43023255813953487,0.15794573643410853,0.04796511627906977,0.015019379844961241,0.00872093023255814,0.007751937984496124,0.010174418604651164,0.007751937984496124,0.001695736434108527,4128
56-60,0.009977827050997782,0.0019401330376940134,0.013303769401330377,0.046286031042128604,0.16685144124168513,0.26108647450110867,0.13442350332594236,0.03824833702882483,0.006929046563192905,0.009146341463414634,0.028824833702882482,0.11723946784922394,0.416019955654102,0.1643569844789357,0.042405764966740575,0.016906873614190687,0.0047117516629711755,0.008869179600886918,0.0102549889135255,0.004988913525498891,3608
61-65,0.017440049828713795,0.0071628776082217375,0.014014325755216444,0.01806290875116786,0.04110868888196823,0.0912488321395204,0.0815945188414824,0.06758019308626596,0.020242914979757085,0.011522890065400186,0.012457178449081284,0.03488009965742759,0.11896605418872626,0.44222983494238555,0.15353472438492682,0.047337278106508875,0.010900031142946123,0.011211460604173155,0.010277172220492058,0.009342883836810962,3211
66-70,0.010944466963923795,0.005674908796108634,0.012971220105391163,0.010944466963923795,0.014592622618565058,0.016619375760032428,0.03161734900689096,0.031211998378597488,0.031211998378597488,0.02107823267126064,0.009323064450749898,0.014187271990271585,0.03364410214835833,0.14025131738954194,0.45804620997162543,0.15403323875152006,0.02188893392784759,0.013376570733684636,0.004053506282934738,0.013781921361978111,2467
71-75,0.002589331952356292,0.0036250647332988087,0.0031071983428275505,0.006214396685655101,0.010875194199896427,0.009321595028482652,0.0072501294665976174,0.013464526152252718,0.011393060590367685,0.017089590885551526,0.020714655618850338,0.0072501294665976174,0.013464526152252718,0.04867944070429829,0.16675297773174522,0.5038839979285344,0.08389435525634387,0.02330398757120663,0.0020714655618850335,0.009321595028482652,1931
76-80,0.0,0.0,0.004464285714285714,0.00744047619047619,0.002976190476190476,0.00744047619047619,0.005952380952380952,0.004464285714285714,0.00744047619047619,0.01488095238095238,0.022321428571428572,0.01488095238095238,0.010416666666666666,0.026785714285714284,0.05803571428571429,0.19791666666666666,0.4255952380952381,0.07738095238095238,0.013392857142857142,0.010416666666666666,672
81-85,0.0035714285714285713,0.0035714285714285713,0.0,0.0,0.0,0.014285714285714285,0.0035714285714285713,0.007142857142857143,0.0035714285714285713,0.0035714285714285713,0.0035714285714285713,0.025,0.007142857142857143,0.007142857142857143,0.03214285714285714,0.07142857142857142,0.2,0.4857142857142857,0.05,0.0035714285714285713,280
86-90,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.0,0.02631578947368421,0.0,0.07894736842105263,0.18421052631578946,0.3026315789473684,0.039473684210526314,76
>90,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,0.0,0.05555555555555555,0.0,0.1111111111111111,0.2222222222222222,0.2777777777777778,18
